;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;;Num PCs;Sat;NonSat;Und;Percent-Und
H09ConnectClass--('DELETE_ELEMENT', 6) - ContractUnitR03;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111; ;65;63;1;1;=1* 100 / 65
H09ConnectClass--('DELETE_ELEMENT', 8) - ContractUnitR09;1.0;0.3333333333333333;0.3333333333333333;0.3333333333333333;1.0;1.0;0.4444444444444444;0.3333333333333333;0.3333333333333333;1.0;0.3333333333333333;0.3333333333333333;0.3333333333333333;1.0;1.0;0.3333333333333333;1.0;1.0; ;64;0;21;43;=43* 100 / 64
H09ConnectClass--('DELETE_ELEMENT', 9) - ContractUnitR02;0.2222222222222222;0.5555555555555556;0.8888888888888888;0.2222222222222222;0.8888888888888888;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.3333333333333333;1.0;0.8888888888888888;0.8888888888888888;0.2222222222222222;0.8888888888888888; ;43;22;21;0;=0* 100 / 43
H09ConnectClass--('DELETE_ELEMENT', 10) - ContractUnitR03;0.8888888888888888;0.5555555555555556;0.8888888888888888;0.2222222222222222;0.8888888888888888;0.8888888888888888;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.8888888888888888;0.2222222222222222;0.2222222222222222;0.5555555555555556;1.0;1.0;0.8888888888888888;0.2222222222222222;0.8888888888888888; ;43;21;21;1;=1* 100 / 43
H09ConnectClass--('RENAME_ASSOC', 8, 'type') - ContractUnitR09;1.0;0.3333333333333333;0.3333333333333333;0.3333333333333333;1.0;1.0;0.4444444444444444;0.3333333333333333;0.3333333333333333;1.0;0.3333333333333333;0.3333333333333333;0.3333333333333333;1.0;1.0;0.3333333333333333;1.0;1.0; ;64;0;21;43;=43* 100 / 64
H09ConnectClass--('RENAME_ASSOC', 8, 'type') - ContractUnitR09;1.0;0.3333333333333333;0.3333333333333333;0.3333333333333333;1.0;1.0;0.4444444444444444;0.3333333333333333;0.3333333333333333;1.0;0.3333333333333333;0.3333333333333333;0.3333333333333333;1.0;1.0;0.3333333333333333;1.0;1.0; ;64;0;21;43;=43* 100 / 64
H09ConnectClass--('RENAME_ASSOC', 8, 'type') - ContractUnitR09;1.0;0.3333333333333333;0.3333333333333333;0.3333333333333333;1.0;1.0;0.4444444444444444;0.3333333333333333;0.3333333333333333;1.0;0.3333333333333333;0.3333333333333333;0.3333333333333333;1.0;1.0;0.3333333333333333;1.0;1.0; ;64;0;21;43;=43* 100 / 64
H10ConnectProperty--('DELETE_ELEMENT', 5) - ContractUnitR10;1.0;0.4444444444444444;0.4444444444444444;0.4444444444444444;1.0;1.0;0.4444444444444444;0.4444444444444444;0.4444444444444444;1.0;0.4444444444444444;0.4444444444444444;0.4444444444444444;1.0;1.0;0.4444444444444444;1.0;1.0; ;87;0;27;60;=60* 100 / 87
H10ConnectProperty--('DELETE_ELEMENT', 6) - ContractUnitR10;1.0;0.4444444444444444;0.4444444444444444;0.4444444444444444;1.0;1.0;0.4444444444444444;0.4444444444444444;0.4444444444444444;1.0;0.4444444444444444;0.4444444444444444;0.4444444444444444;1.0;1.0;0.4444444444444444;1.0;1.0; ;116;0;27;89;=89* 100 / 116
H10ConnectProperty--('DELETE_ELEMENT', 6) - ContractUnitR03;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111; ;116;55;30;31;=31* 100 / 116
H10ConnectProperty--('DELETE_ELEMENT', 8) - ContractUnitR10;1.0;0.4444444444444444;0.4444444444444444;0.4444444444444444;1.0;1.0;0.4444444444444444;0.4444444444444444;0.4444444444444444;1.0;0.4444444444444444;0.4444444444444444;0.4444444444444444;1.0;1.0;0.4444444444444444;1.0;1.0; ;86;0;27;59;=59* 100 / 86
H11ConnectReference--('DELETE_ELEMENT', 6) - ContractUnitR14;1.0;0.5555555555555556;0.5555555555555556;0.5555555555555556;1.0;1.0;0.5555555555555556;0.5555555555555556;0.5555555555555556;1.0;0.5555555555555556;0.5555555555555556;0.5555555555555556;1.0;1.0;0.5555555555555556;1.0;1.0; ;25;0;9;16;=16* 100 / 25
H11ConnectReference--('DELETE_ELEMENT', 7) - ContractUnitR14;1.0;0.5555555555555556;0.5555555555555556;0.5555555555555556;1.0;1.0;0.5555555555555556;0.5555555555555556;0.5555555555555556;1.0;0.5555555555555556;0.5555555555555556;0.5555555555555556;1.0;1.0;0.5555555555555556;1.0;1.0; ;22;0;9;13;=13* 100 / 22
H11ConnectReference--('DELETE_ELEMENT', 10) - ContractUnitR14;1.0;0.5555555555555556;0.5555555555555556;0.5555555555555556;1.0;1.0;0.5555555555555556;0.5555555555555556;0.5555555555555556;1.0;0.5555555555555556;0.5555555555555556;0.5555555555555556;1.0;1.0;0.5555555555555556;1.0;1.0; ;22;0;9;13;=13* 100 / 22
H11ConnectReference--('RENAME_ASSOC', 10, 'entities') - ContractUnitR14;1.0;0.3333333333333333;0.3333333333333333;0.3333333333333333;1.0;1.0;0.3333333333333333;0.3333333333333333;0.3333333333333333;1.0;0.3333333333333333;0.3333333333333333;0.3333333333333333;1.0;1.0;0.3333333333333333;1.0;1.0; ;40;0;27;13;=13* 100 / 40
