;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;;Num PCs;Sat;NonSat;Und;Percent-Und
HCity2TownHall--('ADD_CLASS', 'Family', True, 0) - Pos_AssocCity;0.973684211;0.815789474;0.973684211;0.815789474;0.815789474;0.973684211;0.815789474;0.815789474;0.815789474;0.973684211;0.973684211;0.815789474;0.815789474;0.078947368;0.789473684;0.973684211;0.815789474;0.815789474; ;270;170;16;84;31.11111111
HCity2TownHall--('ADD_CLASS', 'Family', True, 0) - Pos_TownHallComm;0.973684211;0.815789474;0.973684211;0.815789474;0.815789474;0.973684211;0.815789474;0.815789474;0.815789474;0.973684211;0.973684211;0.815789474;0.815789474;0.078947368;0.789473684;0.973684211;0.815789474;0.815789474; ;270;238;16;16;5.925925926
HCity2TownHall--('ADD_CLASS', 'Parent', True, 0) - Pos_AssocCity;0.973684211;0.815789474;0.973684211;0.815789474;0.815789474;0.973684211;0.815789474;0.815789474;0.815789474;0.973684211;0.973684211;0.815789474;0.815789474;0.078947368;0.789473684;0.973684211;0.815789474;0.815789474; ;270;170;16;84;31.11111111
HCity2TownHall--('ADD_CLASS', 'Parent', True, 0) - Pos_TownHallComm;0.973684211;0.815789474;0.973684211;0.815789474;0.815789474;0.973684211;0.815789474;0.815789474;0.815789474;0.973684211;0.973684211;0.815789474;0.815789474;0.078947368;0.789473684;0.973684211;0.815789474;0.815789474; ;270;238;16;16;5.925925926
HCity2TownHall--('ADD_CLASS', 'Child', True, 0) - Pos_AssocCity;0.973684211;0.815789474;0.973684211;0.815789474;0.815789474;0.973684211;0.815789474;0.815789474;0.815789474;0.973684211;0.973684211;0.815789474;0.815789474;0.078947368;0.789473684;0.973684211;0.815789474;0.815789474; ;270;170;16;84;31.11111111
HCity2TownHall--('ADD_CLASS', 'Child', True, 0) - Pos_TownHallComm;0.973684211;0.815789474;0.973684211;0.815789474;0.815789474;0.973684211;0.815789474;0.815789474;0.815789474;0.973684211;0.973684211;0.815789474;0.815789474;0.078947368;0.789473684;0.973684211;0.815789474;0.815789474; ;270;238;16;16;5.925925926
HCity2TownHall--('ADD_CLASS', 'Neighborhood', True, 0) - Pos_AssocCity;0.973684211;0.815789474;0.973684211;0.815789474;0.815789474;0.973684211;0.815789474;0.815789474;0.815789474;0.973684211;0.973684211;0.815789474;0.815789474;0.078947368;0.789473684;0.973684211;0.815789474;0.815789474; ;270;170;16;84;31.11111111
HCity2TownHall--('ADD_CLASS', 'Neighborhood', True, 0) - Pos_TownHallComm;0.973684211;0.815789474;0.973684211;0.815789474;0.815789474;0.973684211;0.815789474;0.815789474;0.815789474;0.973684211;0.973684211;0.815789474;0.815789474;0.078947368;0.789473684;0.973684211;0.815789474;0.815789474; ;270;238;16;16;5.925925926
HCity2TownHall--('ADD_CLASS', 'City', True, 0) - Pos_AssocCity;0.973684211;0.815789474;0.973684211;0.815789474;0.815789474;0.973684211;0.815789474;0.815789474;0.815789474;0.973684211;0.973684211;0.815789474;0.815789474;0.078947368;0.789473684;0.973684211;0.815789474;0.815789474; ;270;170;16;84;31.11111111
HCity2TownHall--('ADD_CLASS', 'City', True, 0) - Pos_TownHallComm;0.973684211;0.815789474;0.973684211;0.815789474;0.815789474;0.973684211;0.815789474;0.815789474;0.815789474;0.973684211;0.973684211;0.815789474;0.815789474;0.078947368;0.789473684;0.973684211;0.815789474;0.815789474; ;270;238;16;16;5.925925926
HCity2TownHall--('ADD_CLASS', 'School', True, 0) - Pos_AssocCity;0.973684211;0.815789474;0.973684211;0.815789474;0.815789474;0.973684211;0.815789474;0.815789474;0.815789474;0.973684211;0.973684211;0.815789474;0.815789474;0.078947368;0.789473684;0.973684211;0.815789474;0.815789474; ;270;170;16;84;31.11111111
HCity2TownHall--('ADD_CLASS', 'School', True, 0) - Pos_TownHallComm;0.973684211;0.815789474;0.973684211;0.815789474;0.815789474;0.973684211;0.815789474;0.815789474;0.815789474;0.973684211;0.973684211;0.815789474;0.815789474;0.078947368;0.789473684;0.973684211;0.815789474;0.815789474; ;270;238;16;16;5.925925926
HCity2TownHall--('ADD_CLASS', 'Member', True, 0) - Pos_AssocCity;0.973684211;0.815789474;0.973684211;0.815789474;0.815789474;0.973684211;0.815789474;0.815789474;0.815789474;0.973684211;0.973684211;0.815789474;0.815789474;0.078947368;0.789473684;0.973684211;0.815789474;0.815789474; ;270;170;16;84;31.11111111
HCity2TownHall--('ADD_CLASS', 'Member', True, 0) - Pos_TownHallComm;0.973684211;0.815789474;0.973684211;0.815789474;0.815789474;0.973684211;0.815789474;0.815789474;0.815789474;0.973684211;0.973684211;0.815789474;0.815789474;0.078947368;0.789473684;0.973684211;0.815789474;0.815789474; ;270;238;16;16;5.925925926
HCity2TownHall--('ADD_CLASS', 'NamedElement', True, 0) - Pos_AssocCity;0.973684211;0.815789474;0.973684211;0.815789474;0.815789474;0.973684211;0.815789474;0.815789474;0.815789474;0.973684211;0.973684211;0.815789474;0.815789474;0.078947368;0.789473684;0.973684211;0.815789474;0.815789474; ;270;170;16;84;31.11111111
HCity2TownHall--('ADD_CLASS', 'NamedElement', True, 0) - Pos_TownHallComm;0.973684211;0.815789474;0.973684211;0.815789474;0.815789474;0.973684211;0.815789474;0.815789474;0.815789474;0.973684211;0.973684211;0.815789474;0.815789474;0.078947368;0.789473684;0.973684211;0.815789474;0.815789474; ;270;238;16;16;5.925925926
HCity2TownHall--('ADD_CLASS', 'Service', True, 0) - Pos_AssocCity;0.973684211;0.815789474;0.973684211;0.815789474;0.815789474;0.973684211;0.815789474;0.815789474;0.815789474;0.973684211;0.973684211;0.815789474;0.815789474;0.078947368;0.789473684;0.973684211;0.815789474;0.815789474; ;270;170;16;84;31.11111111
HCity2TownHall--('ADD_CLASS', 'Service', True, 0) - Pos_TownHallComm;0.973684211;0.815789474;0.973684211;0.815789474;0.815789474;0.973684211;0.815789474;0.815789474;0.815789474;0.973684211;0.973684211;0.815789474;0.815789474;0.078947368;0.789473684;0.973684211;0.815789474;0.815789474; ;270;238;16;16;5.925925926
HCity2TownHall--('ADD_ASSOC', 'committee', 7, 5, False) - Pos_AssocCity;0.447368421;0.394736842;0.894736842;0.236842105;0.447368421;0.447368421;0.236842105;0.236842105;0.236842105;0.447368421;0.236842105;0.157894737;0.868421053;0.894736842;0.947368421;0.894736842;0.236842105;0.447368421; ;494;170;119;205;41.49797571
HCity2TownHall--('DELETE_ELEMENT', 5) - Pos_AssocCity;0.526315789;0.157894737;0.157894737;0.157894737;0.684210526;0.526315789;0.157894737;0.157894737;0.157894737;0.526315789;0.157894737;0.157894737;0.157894737;0.736842105;0.526315789;0.157894737;0.578947368;0.368421053; ;49;0;16;33;67.34693878
HCity2TownHall--('DELETE_ELEMENT', 5) - Pos_TownHallComm;0.526315789;0.052631579;0.052631579;0.052631579;0.684210526;0.526315789;0.105263158;0.052631579;0.052631579;0.526315789;0.052631579;0.052631579;0.052631579;0.842105263;0.526315789;0.052631579;0.684210526;0.368421053; ;49;0;33;16;32.65306122
HCity2TownHall--('DELETE_ELEMENT', 7) - Pos_AssocCity;0.526315789;0.105263158;0.105263158;0.105263158;0.552631579;0.526315789;0.105263158;0.105263158;0.105263158;0.526315789;0.105263158;0.105263158;0.105263158;0.921052632;0.526315789;0.105263158;0.894736842;0.5; ;254;0;170;84;33.07086614
HCity2TownHall--('DELETE_ELEMENT', 7) - Pos_TownHallComm;0.526315789;0.105263158;0.105263158;0.105263158;0.552631579;0.526315789;0.105263158;0.105263158;0.105263158;0.526315789;0.105263158;0.105263158;0.105263158;0.921052632;0.526315789;0.105263158;0.894736842;0.5; ;254;0;238;16;6.299212598
HCity2TownHall--('DELETE_ELEMENT', 9) - Pos_AssocCity;0.526315789;0.105263158;0.105263158;0.105263158;0.526315789;0.526315789;0.105263158;0.105263158;0.105263158;0.526315789;0.105263158;0.105263158;0.105263158;0.947368421;0.526315789;0.105263158;0.947368421;0.526315789; ;254;0;170;84;33.07086614
HCity2TownHall--('DELETE_ELEMENT', 9) - Pos_TownHallComm;0.526315789;0.105263158;0.105263158;0.105263158;0.526315789;0.526315789;0.105263158;0.105263158;0.105263158;0.526315789;0.105263158;0.105263158;0.105263158;0.947368421;0.526315789;0.105263158;0.947368421;0.526315789; ;254;0;238;16;6.299212598
HCity2TownHall--('RENAME_CLASS', 3, 'NamedElement') - Pos_AssocCity;0.526315789;0.815789474;0.815789474;0.815789474;0.236842105;0.526315789;0.815789474;0.815789474;0.815789474;0.526315789;0.815789474;0.815789474;0.815789474;0.736842105;0.526315789;0.815789474;0.815789474;0.815789474; ;32;0;16;16;50
HCity2TownHall--('RENAME_CLASS', 3, 'NamedElement') - Pos_TownHallComm;0.526315789;0.815789474;0.815789474;0.815789474;0.236842105;0.526315789;0.815789474;0.815789474;0.815789474;0.526315789;0.815789474;0.815789474;0.815789474;0.736842105;0.526315789;0.815789474;0.815789474;0.815789474; ;32;0;16;16;50
HCity2TownHall--('RENAME_CLASS', 5, 'NamedElement') - Pos_AssocCity;0.526315789;0.157894737;0.157894737;0.157894737;0.684210526;0.526315789;0.157894737;0.157894737;0.157894737;0.526315789;0.157894737;0.157894737;0.157894737;0.736842105;0.526315789;0.157894737;0.578947368;0.368421053; ;49;0;16;33;67.34693878
HCity2TownHall--('RENAME_CLASS', 5, 'NamedElement') - Pos_TownHallComm;0.526315789;0.052631579;0.052631579;0.052631579;0.684210526;0.526315789;0.105263158;0.052631579;0.052631579;0.526315789;0.052631579;0.052631579;0.052631579;0.842105263;0.526315789;0.052631579;0.684210526;0.368421053; ;49;0;33;16;32.65306122
HCity2TownHall--('RENAME_CLASS', 7, 'NamedElement') - Pos_AssocCity;0.526315789;0.078947368;0.078947368;0.078947368;0.552631579;0.526315789;0.078947368;0.078947368;0.078947368;0.526315789;0.078947368;0.078947368;0.078947368;0.947368421;0.526315789;0.078947368;0.921052632;0.5; ;1282;0;720;562;43.83775351
HCity2TownHall--('RENAME_CLASS', 7, 'NamedElement') - Pos_TownHallComm;0.526315789;0.052631579;0.052631579;0.052631579;0.552631579;0.526315789;0.052631579;0.052631579;0.052631579;0.526315789;0.052631579;0.052631579;0.052631579;0.973684211;0.526315789;0.052631579;0.947368421;0.5; ;1282;0;1266;16;1.248049922
HCity2TownHall--('MODIFY_EQUATION', 0, ((7, 'name'), ('concat', ((3, 'name'), ('constant', ' TownHall'))))) - Pos_AssocCity;0.368421053;0.289473684;0.657894737;0.184210526;0.447368421;0.368421053;0.184210526;0.184210526;0.184210526;0.368421053;0.184210526;0.131578947;0.5;0.842105263;0.789473684;0.657894737;0.078947368;0.289473684; ;88;24;16;48;54.54545455
HCity2TownHall--('MODIFY_EQUATION', 0, ((7, 'name'), ('concat', ((3, 'name'), ('constant', ' TownHall'))))) - Pos_TownHallComm;0.368421053;0.289473684;0.921052632;0.184210526;0.447368421;0.368421053;0.184210526;0.184210526;0.184210526;0.368421053;0.184210526;0.131578947;0.605263158;0.842105263;0.789473684;0.921052632;0.078947368;0.289473684; ;88;56;16;16;18.18181818
HCity2TownHall--('MODIFY_EQUATION', 0, ((7, 'name'), (3, 'name'))) - Pos_AssocCity;0.368421053;0.289473684;0.657894737;0.184210526;0.447368421;0.368421053;0.184210526;0.184210526;0.184210526;0.368421053;0.184210526;0.131578947;0.5;0.842105263;0.789473684;0.657894737;0.078947368;0.289473684; ;88;24;16;48;54.54545455
HCity2TownHall--('MODIFY_EQUATION', 0, ((7, 'name'), (3, 'name'))) - Pos_TownHallComm;0.368421053;0.289473684;0.921052632;0.184210526;0.447368421;0.368421053;0.184210526;0.184210526;0.184210526;0.368421053;0.184210526;0.131578947;0.605263158;0.842105263;0.789473684;0.921052632;0.078947368;0.289473684; ;88;56;16;16;18.18181818
HCity2TownHall--('MODIFY_EQUATION', 0, ((7, 'name'), ('constant', ' TownHall'))) - Pos_AssocCity;0.368421053;0.289473684;0.657894737;0.184210526;0.447368421;0.368421053;0.184210526;0.184210526;0.184210526;0.368421053;0.184210526;0.131578947;0.5;0.842105263;0.789473684;0.657894737;0.078947368;0.289473684; ;88;24;16;48;54.54545455
HCity2TownHall--('MODIFY_EQUATION', 0, ((7, 'name'), ('constant', ' TownHall'))) - Pos_TownHallComm;0.368421053;0.289473684;0.921052632;0.184210526;0.447368421;0.368421053;0.184210526;0.184210526;0.184210526;0.368421053;0.184210526;0.131578947;0.605263158;0.842105263;0.789473684;0.921052632;0.078947368;0.289473684; ;88;56;16;16;18.18181818
HCity2TownHall--('MODIFY_EQUATION', 0, ((7, 'name'), ('concat', (('constant', ' TownHall'), (3, 'name'))))) - Pos_AssocCity;0.368421053;0.289473684;0.657894737;0.184210526;0.447368421;0.368421053;0.184210526;0.184210526;0.184210526;0.368421053;0.184210526;0.131578947;0.5;0.842105263;0.789473684;0.657894737;0.078947368;0.289473684; ;88;24;16;48;54.54545455
HCity2TownHall--('MODIFY_EQUATION', 0, ((7, 'name'), ('concat', (('constant', ' TownHall'), (3, 'name'))))) - Pos_TownHallComm;0.368421053;0.289473684;0.921052632;0.184210526;0.447368421;0.368421053;0.184210526;0.184210526;0.184210526;0.368421053;0.184210526;0.131578947;0.605263158;0.842105263;0.789473684;0.921052632;0.078947368;0.289473684; ;88;56;16;16;18.18181818
HCity2TownHall--('MODIFY_EQUATION', 0, ((7, 'name'), ('concat', ((3, 'name'), (3, 'name'))))) - Pos_AssocCity;0.368421053;0.289473684;0.657894737;0.184210526;0.447368421;0.368421053;0.184210526;0.184210526;0.184210526;0.368421053;0.184210526;0.131578947;0.5;0.842105263;0.789473684;0.657894737;0.078947368;0.289473684; ;88;24;16;48;54.54545455
HCity2TownHall--('MODIFY_EQUATION', 0, ((7, 'name'), ('concat', ((3, 'name'), (3, 'name'))))) - Pos_TownHallComm;0.368421053;0.289473684;0.921052632;0.184210526;0.447368421;0.368421053;0.184210526;0.184210526;0.184210526;0.368421053;0.184210526;0.131578947;0.605263158;0.842105263;0.789473684;0.921052632;0.078947368;0.289473684; ;88;56;16;16;18.18181818
HCity2TownHall--('MODIFY_EQUATION', 1, ((5, 'name'), ('concat', ((3, 'name'), ('constant', ' TownHall Committee'))))) - Pos_AssocCity;0.368421053;0.289473684;0.657894737;0.184210526;0.447368421;0.368421053;0.184210526;0.184210526;0.184210526;0.368421053;0.184210526;0.131578947;0.5;0.842105263;0.789473684;0.657894737;0.078947368;0.289473684; ;88;24;16;48;54.54545455
HCity2TownHall--('MODIFY_EQUATION', 1, ((5, 'name'), ('concat', ((3, 'name'), ('constant', ' TownHall Committee'))))) - Pos_TownHallComm;0.368421053;0.289473684;0.921052632;0.184210526;0.447368421;0.368421053;0.184210526;0.184210526;0.184210526;0.368421053;0.184210526;0.131578947;0.605263158;0.842105263;0.789473684;0.921052632;0.078947368;0.289473684; ;88;56;16;16;18.18181818
HCity2TownHall--('MODIFY_EQUATION', 1, ((5, 'name'), (3, 'name'))) - Pos_AssocCity;0.368421053;0.289473684;0.657894737;0.184210526;0.447368421;0.368421053;0.184210526;0.184210526;0.184210526;0.368421053;0.184210526;0.131578947;0.5;0.842105263;0.789473684;0.657894737;0.078947368;0.289473684; ;88;24;16;48;54.54545455
HCity2TownHall--('MODIFY_EQUATION', 1, ((5, 'name'), (3, 'name'))) - Pos_TownHallComm;0.368421053;0.289473684;0.921052632;0.184210526;0.447368421;0.368421053;0.184210526;0.184210526;0.184210526;0.368421053;0.184210526;0.131578947;0.605263158;0.842105263;0.789473684;0.921052632;0.078947368;0.289473684; ;88;56;16;16;18.18181818
HCity2TownHall--('MODIFY_EQUATION', 1, ((5, 'name'), ('constant', ' TownHall Committee'))) - Pos_AssocCity;0.368421053;0.289473684;0.657894737;0.184210526;0.447368421;0.368421053;0.184210526;0.184210526;0.184210526;0.368421053;0.184210526;0.131578947;0.5;0.842105263;0.789473684;0.657894737;0.078947368;0.289473684; ;88;24;16;48;54.54545455
