;;;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;;Num PCs;Sat;NonSat;Und;Percent-Und
HCompositeState2ProcDef;('RENAME_CLASS', 13, 'TopLevelElement') ; IF(MM11): THEN(MM11_then);0.3235294117647059;0.29411764705882354;0.8235294117647058;0.23529411764705882;0.3529411764705882;0.3235294117647059;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.3235294117647059;0.23529411764705882;0.2058823529411765;0.6470588235294117;0.8235294117647058;0.7647058823529411;0.8235294117647058;0.23529411764705882;0.29411764705882354; ;565;462;95;8;1,415929204
HCompositeState2ProcDef;('RENAME_ASSOC', 28, 'else') ; IF(MM11): THEN(MM11_then);0.3235294117647059;0.29411764705882354;0.8235294117647058;0.23529411764705882;0.3529411764705882;0.3235294117647059;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.3235294117647059;0.23529411764705882;0.2058823529411765;0.6470588235294117;0.8235294117647058;0.7647058823529411;0.8235294117647058;0.23529411764705882;0.29411764705882354; ;557;454;95;8;1,436265709
HCompositeState2ProcDef;('RENAME_ASSOC', 28, 'then') ; IF(MM11): THEN(MM11_then);0.3235294117647059;0.29411764705882354;0.8235294117647058;0.23529411764705882;0.3529411764705882;0.3235294117647059;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.3235294117647059;0.23529411764705882;0.2058823529411765;0.6470588235294117;0.8235294117647058;0.7647058823529411;0.8235294117647058;0.23529411764705882;0.29411764705882354; ;557;454;95;8;1,436265709
HCompositeState2ProcDef;('RENAME_ASSOC', 28, 'then') ; IF(MM11): THEN(MM11_then);0.3235294117647059;0.29411764705882354;0.8235294117647058;0.23529411764705882;0.3529411764705882;0.3235294117647059;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.3235294117647059;0.23529411764705882;0.2058823529411765;0.6470588235294117;0.8235294117647058;0.7647058823529411;0.8235294117647058;0.23529411764705882;0.29411764705882354; ;557;454;95;8;1,436265709
HCompositeState2ProcDef;('RENAME_ASSOC', 28, 'alternative') ; IF(MM11): THEN(MM11_then);0.3235294117647059;0.29411764705882354;0.8235294117647058;0.23529411764705882;0.3529411764705882;0.3235294117647059;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.3235294117647059;0.23529411764705882;0.2058823529411765;0.6470588235294117;0.8235294117647058;0.7647058823529411;0.8235294117647058;0.23529411764705882;0.29411764705882354; ;551;448;95;8;1,451905626
HCompositeState2ProcDef;('RENAME_ASSOC', 28, 'proc') ; IF(MM11): THEN(MM11_then);0.3235294117647059;0.29411764705882354;0.8235294117647058;0.23529411764705882;0.3529411764705882;0.3235294117647059;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.3235294117647059;0.23529411764705882;0.2058823529411765;0.6470588235294117;0.8235294117647058;0.7647058823529411;0.8235294117647058;0.23529411764705882;0.29411764705882354; ;557;454;95;8;1,436265709
HCompositeState2ProcDef;('RENAME_ASSOC', 28, 'match') ; IF(MM11): THEN(MM11_then);0.3235294117647059;0.29411764705882354;0.8235294117647058;0.23529411764705882;0.3529411764705882;0.3235294117647059;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.3235294117647059;0.23529411764705882;0.2058823529411765;0.6470588235294117;0.8235294117647058;0.7647058823529411;0.8235294117647058;0.23529411764705882;0.29411764705882354; ;557;454;95;8;1,436265709
HCompositeState2ProcDef;('RENAME_ASSOC', 28, 'f') ; IF(MM11): THEN(MM11_then);0.3235294117647059;0.29411764705882354;0.8235294117647058;0.23529411764705882;0.3529411764705882;0.3235294117647059;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.3235294117647059;0.23529411764705882;0.2058823529411765;0.6470588235294117;0.8235294117647058;0.7647058823529411;0.8235294117647058;0.23529411764705882;0.29411764705882354; ;557;454;95;8;1,436265709
HCompositeState2ProcDef;('RENAME_ASSOC', 29, 'else') ; IF(MM11): THEN(MM11_then);0.3235294117647059;0.29411764705882354;0.8235294117647058;0.23529411764705882;0.3529411764705882;0.3235294117647059;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.3235294117647059;0.23529411764705882;0.2058823529411765;0.6470588235294117;0.8235294117647058;0.7647058823529411;0.8235294117647058;0.23529411764705882;0.29411764705882354; ;557;454;95;8;1,436265709
HCompositeState2ProcDef;('RENAME_ASSOC', 29, 'then') ; IF(MM11): THEN(MM11_then);0.3235294117647059;0.29411764705882354;0.8235294117647058;0.23529411764705882;0.3529411764705882;0.3235294117647059;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.3235294117647059;0.23529411764705882;0.2058823529411765;0.6470588235294117;0.8235294117647058;0.7647058823529411;0.8235294117647058;0.23529411764705882;0.29411764705882354; ;557;454;95;8;1,436265709
HCompositeState2ProcDef;('RENAME_ASSOC', 29, 'then') ; IF(MM11): THEN(MM11_then);0.3235294117647059;0.29411764705882354;0.8235294117647058;0.23529411764705882;0.3529411764705882;0.3235294117647059;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.3235294117647059;0.23529411764705882;0.2058823529411765;0.6470588235294117;0.8235294117647058;0.7647058823529411;0.8235294117647058;0.23529411764705882;0.29411764705882354; ;557;454;95;8;1,436265709
HCompositeState2ProcDef;('RENAME_ASSOC', 29, 'alternative') ; IF(MM11): THEN(MM11_then);0.3235294117647059;0.29411764705882354;0.8235294117647058;0.23529411764705882;0.3529411764705882;0.3235294117647059;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.3235294117647059;0.23529411764705882;0.2058823529411765;0.6470588235294117;0.8235294117647058;0.7647058823529411;0.8235294117647058;0.23529411764705882;0.29411764705882354; ;551;448;95;8;1,451905626
HCompositeState2ProcDef;('RENAME_ASSOC', 29, 'proc') ; IF(MM11): THEN(MM11_then);0.3235294117647059;0.29411764705882354;0.8235294117647058;0.23529411764705882;0.3529411764705882;0.3235294117647059;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.3235294117647059;0.23529411764705882;0.2058823529411765;0.6470588235294117;0.8235294117647058;0.7647058823529411;0.8235294117647058;0.23529411764705882;0.29411764705882354; ;557;454;95;8;1,436265709
HCompositeState2ProcDef;('RENAME_ASSOC', 29, 'match') ; IF(MM11): THEN(MM11_then);0.3235294117647059;0.29411764705882354;0.8235294117647058;0.23529411764705882;0.3529411764705882;0.3235294117647059;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.3235294117647059;0.23529411764705882;0.2058823529411765;0.6470588235294117;0.8235294117647058;0.7647058823529411;0.8235294117647058;0.23529411764705882;0.29411764705882354; ;557;454;95;8;1,436265709
